Time,FHR,UC
0.0,153.75,46.0
1.0,153.75,43.0
2.0,153.75,43.0
3.0,154.75,49.0
4.0,154.75,49.0
5.0,153.75,52.0
6.0,153.75,52.0
7.0,153.75,48.0
8.0,154.75,48.0
9.0,153.75,48.0
10.0,153.75,48.0
11.0,154.75,52.0
12.0,154.75,52.0
13.0,154.75,50.0
14.0,154.75,50.0
15.0,154.75,47.0
16.0,154.75,47.0
17.0,154.75,48.0
18.0,154.75,48.0
19.0,155.5,47.0
20.0,154.75,47.0
21.0,154.75,41.0
22.0,156.25,41.0
23.0,156.25,37.0
24.0,156.25,37.0
25.0,156.25,38.0
26.0,157.0,38.0
27.0,157.0,35.0
28.0,158.0,35.0
29.0,158.0,30.0
30.0,158.0,30.0
31.0,158.75,31.0
32.0,159.5,31.0
33.0,159.5,35.0
34.0,158.75,35.0
35.0,161.25,33.0
36.0,161.25,33.0
37.0,160.5,31.0
38.0,162.25,31.0
39.0,162.25,36.0
40.0,162.25,36.0
41.0,164.0,41.0
42.0,164.0,41.0
43.0,164.0,42.0
44.0,164.75,42.0
45.0,164.75,40.0
46.0,164.75,40.0
47.0,164.75,37.0
48.0,164.75,37.0
49.0,165.75,38.0
50.0,164.75,38.0
51.0,164.75,43.0
52.0,166.75,43.0
53.0,165.75,43.0
54.0,165.75,43.0
55.0,165.75,37.0
56.0,164.75,37.0
57.0,164.75,34.0
58.0,164.75,34.0
59.0,163.0,38.0
